game_play,gameId,playId,quarter,GameClock,down,yardsToGo,possessionTeam,yardlineSide,yardlineNumber,offenseFormation,personnel.offense,defendersInTheBox,numberOfPassRushers,personnel.defense,HomeScoreBeforePlay,VisitorScoreBeforePlay,HomeScoreAfterPlay,VisitorScoreAfterPlay,isPenalty,isSTPlay,SpecialTeamsPlayType,KickReturnYardage,PassLength,PassResult,YardsAfterCatch,PlayResult,playDescription,game_id,play_id,posteam,defteam,home_team,away_team,ep,wp,epa,wpa,yardline_100,yards_gained,air_yards,yards_after_catch,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,frame.id,x,y,snap_frame,snap_x,snap_y,end_frame,end_x,end_y,target_x
2017091004_73,2017091004,73,1,14:54:00,1,10,ARI,ARI,23,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB",0,0,0,0,FALSE,FALSE,NA,NA,-2,C,6,4,(14:54) (Shotgun) C.Palmer pass short right to L.Fitzgerald to ARZ 27 for 4 yards (Q.Diggs).,2017091004,73,ARI,DET,DET,ARI,0.6215146765006347,0.49470540123075074,-0.0992784102797053,-6.484251638285143e-4,77,4,-2,6,00-0021429,C.Palmer,00-0022921,L.Fitzgerald,35,89.14,40.62,15,87.19,24.01,68,81.49,53.05,0
2017091004_118,2017091004,118,1,13:34:00,3,4,ARI,ARI,29,SHOTGUN,"1 RB, 0 TE, 4 WR",5,4,"4 DL, 1 LB, 6 DB",0,0,0,0,FALSE,FALSE,NA,NA,7,C,7,15,"(13:34) (Shotgun) C.Palmer pass short middle to Da.Johnson to ARZ 43 for 14 yards (G.Quin). FUMBLES (G.Quin), recovered by ARZ-Ja.Brown at ARZ 44. Ja.Brown to ARZ 44 for no gain (J.Agnew).",2017091004,118,ARI,DET,DET,ARI,0.03478235461916057,0.4822584524791205,2.4884295827010434,0.07685639475847555,71,15,7,8,00-0021429,C.Palmer,00-0032187,Da.Johnson,48,75.95,34.24,15,80.54,29.54,87,65.87,30.78,0
2017091004_337,2017091004,337,1,10:29:00,2,10,DET,DET,15,EMPTY,"1 RB, 1 TE, 3 WR",5,4,"3 DL, 3 LB, 5 DB",0,7,0,7,FALSE,FALSE,NA,NA,2,C,0,2,"(10:29) (No Huddle, Shotgun) M.Stafford pass short right to A.Abdullah to DET 17 for 2 yards (A.Bethea).",2017091004,337,DET,ARI,DET,ARI,-0.86654331018860975,0.26955122185625147,-0.6042479953741426,-0.01769177835158736,85,2,2,0,00-0026498,M.Stafford,00-0032104,A.Abdullah,37,26.12,13.79,15,25.23,23.74,60,24.05,13.6,0
2017091004_408,2017091004,408,1,09:33:00,1,10,ARI,ARI,33,EMPTY,"1 RB, 3 TE, 1 WR",6,5,"4 DL, 4 LB, 3 DB",0,7,0,7,FALSE,FALSE,NA,NA,-2,C,5,3,(9:33) (Shotgun) C.Palmer pass short right to Da.Johnson to ARZ 36 for 3 yards (J.Davis).,2017091004,408,ARI,DET,DET,ARI,1.6547964296851487,0.7392057645724602,-0.25790275952937347,-0.007215944414571407,67,3,-2,5,00-0021429,C.Palmer,00-0032187,Da.Johnson,35,80.21,39.99,15,77.69,23.71,66,74.15,39.12,0
2017091004_533,2017091004,533,1,07:17:00,2,17,DET,DET,7,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB",0,7,0,7,FALSE,FALSE,NA,NA,3,C,2,5,"(7:17) (No Huddle, Shotgun) M.Stafford pass short left to T.Riddick to DET 12 for 5 yards (A.Bethea).",2017091004,533,DET,ARI,DET,ARI,-1.7942939270446006,0.24529049055097366,-0.263954230360097,-0.007143069027003984,93,5,3,2,00-0026498,M.Stafford,00-0030107,T.Riddick,42,19.86,32.52,15,16.94,27.11,68,21.95,27.61,120
2017091004_757,2017091004,757,1,04:36:00,1,5,ARI,DET,5,SINGLEBACK,"1 RB, 2 TE, 2 WR",8,6,"4 DL, 3 LB, 4 DB",0,7,0,7,FALSE,FALSE,NA,NA,-1,C,3,2,(4:36) C.Palmer pass short right to Da.Johnson pushed ob at DET 3 for 2 yards (G.Quin) [C.Washington].,2017091004,757,ARI,DET,DET,ARI,5.707026573441567,0.8432644628777166,-0.09696805842868272,-0.0027783977261888193,5,2,-1,3,00-0021429,C.Palmer,00-0032187,Da.Johnson,42,16.92,44.33,15,15.79,29.91,68,12.23,55.46,0
2017091004_802,2017091004,802,1,03:22:00,3,2,ARI,DET,2,SHOTGUN,"1 RB, 1 TE, 3 WR",7,4,"4 DL, 2 LB, 5 DB",0,7,0,7,FALSE,FALSE,NA,NA,-5,C,1,-4,(3:22) (Shotgun) C.Palmer pass short right to J.Gresham to DET 6 for -4 yards (M.Killebrew).,2017091004,802,ARI,DET,DET,ARI,5.230450436833782,0.8313897903933661,-2.30363098063789,-0.057068692482180605,2,-4,-5,1,00-0021429,C.Palmer,00-0027873,J.Gresham,42,18.04,34.36,15,11.79,29.88,93,18.87,39.79,0
2017091004_897,2017091004,897,1,02:02:00,2,9,DET,DET,8,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB",0,10,0,10,FALSE,FALSE,NA,NA,-2,C,9,7,"(2:02) (No Huddle, Shotgun) M.Stafford pass short right to G.Tate to DET 15 for 7 yards (A.Bethea).",2017091004,897,DET,ARI,DET,ARI,-1.2880272380855375,0.17259983833568038,0.6984117076776493,0.012661656967755675,92,7,-2,9,00-0026498,M.Stafford,00-0027891,G.Tate,34,15.18,19.13,15,17.41,29.62,86,25.33,8.45,120
2017091004_921,2017091004,921,1,01:18:00,3,2,DET,DET,15,SHOTGUN,"1 RB, 1 TE, 3 WR",6,3,"2 DL, 4 LB, 5 DB",0,10,0,10,FALSE,FALSE,NA,NA,2,C,0,2,"(1:18) (No Huddle, Shotgun) M.Stafford pass short right to T.Riddick to DET 17 for 2 yards (J.Bynes) [F.Rucker].",2017091004,921,DET,ARI,DET,ARI,-0.5896155304078883,0.18526149530343605,0.8640180132712192,0.018986851118157372,85,2,2,0,00-0026498,M.Stafford,00-0030107,T.Riddick,50,26.26,14.27,15,24.57,23.83,68,25.08,11.3,120
2017091004_966,2017091004,966,1,00:24:00,2,11,DET,DET,16,SHOTGUN,"1 RB, 1 TE, 3 WR",6,6,"2 DL, 4 LB, 5 DB",0,10,0,10,FALSE,FALSE,NA,NA,6,C,3,9,"(:24) (No Huddle, Shotgun) M.Stafford pass short right to K.Golladay to DET 25 for 9 yards (J.Bynes).",2017091004,966,DET,ARI,DET,ARI,-0.6044950361849386,0.18263623644146237,0.9642645122109823,0.0220426582592122,84,9,6,3,00-0026498,M.Stafford,00-0033932,K.Golladay,43,31.96,11.06,15,25.85,23.58,61,35.34,13.61,120
